행정구분,직종구분,데이터구분,1967 년,1970 년,1971 년,1973 년,1974 년,1975 년,1978 년,1979 년,1980 년,1981 년,1982 년,1983 년,1984 년,1985 년,1986 년,1987 년,1988 년,1989 년,1990 년,1991 년,1992 년,1993 년,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년
전국,합계,인원수,13088,18409,19622,23368,23555,22772,30063,46641,54080,59047,61192,64368,68426,82596,73062,78413,90657,95147,105223,108431,171530,187004,200655,220212,220224,230408,235758,247178,258295
전국,합계,남자인원수,4844,10206,5042,12115,12753,12976,15239,23594,27675,28613,32003,19782,19794,20266,21188,23510,25313,27056,29059,63092,,,,,,,,,
전국,합계,여자인원수,2597,8203,4092,11203,10802,9796,14824,23047,26405,30434,29189,16512,22134,23379,22118,23819,25724,27001,32582,45339,,,,,,,,,
전국,합계,만명당인원수,,12,12,12.5,11.9,122.2,12.9,18.7,20.1,21.2,21.4,,22.3,26.6,22.3,23.6,26.2,20.7,29.2,11.49,45.96,49.25,52.03,52.81,51.64,53.37,53.98,56.03,57.86
전국,의사,인원수,5226,7591,7798,9233,9779,9868,11307,11289,14019,15350,18050,17877,19271,20000,21584,23116,25400,26877,28764,31252,31015,36874,39865,41790,44495,47035,49087,46300,51982
전국,의사,남자인원수,,6357,,7844,8433,8544,10404,10101,12132,13248,16121,9248,10035,10133,10792,12077,13466,14099,15221,29324,,,,,,,,,
전국,의사,여자인원수,,1234,,1389,1346,1324,903,1188,1887,2102,1929,716,838,793,962,995,1124,1216,1484,1928,,,,,,,,,
전국,의사,만명당인원수,,5,4.8,4.9,4.9,52.9,4.86,4.5,5.2,5.5,5.9,,6.3,6.3,6.7,6.9,7.3,5.4,8,3.31,8.31,9.71,10.33,10.02,10.43,10.9,11.24,10.49,11.64
전국,치과의사,인원수,1098,1440,1508,1754,1820,1829,2078,2162,2533,2362,2945,3142,3422,3870,4185,4635,5268,5541,6370,7071,7767,8465,9141,10148,10745,11562,12137,13279,13560
전국,치과의사,남자인원수,532,1365,594,1677,1744,1760,2004,2079,2417,2254,2859,1450,1609,1949,2090,2364,2677,3012,3397,6589,,,,,,,,,
전국,치과의사,여자인원수,52,75,23,77,76,69,74,83,116,108,86,61,76,92,135,177,209,270,418,482,,,,,,,,,
