행정구분,직종구분,데이터구분,년도,데이터
전국,합계,인원수,2009,417200
전국,합계,인원수,2010,452647
전국,합계,인원수,2011,463281
전국,합계,인원수,2012,483702
전국,합계,인원수,2013,501101
전국,합계,인원수,2014,526935
전국,합계,인원수,2015,544978
전국,합계,인원수,2016,583452
전국,합계,인원수,2017,630816
전국,합계,만명당인원수,2009,83.3
전국,합계,만명당인원수,2010,89.6
전국,합계,만명당인원수,2011,90.8
전국,합계,만명당인원수,2012,93.2
전국,합계,만명당인원수,2013,96
전국,합계,만명당인원수,2014,100.52
전국,합계,만명당인원수,2015,103
전국,합계,만명당인원수,2016,110
전국,합계,만명당인원수,2017,119
전국,합계,인구수,2009,50071811
전국,합계,인구수,2010,50515666
전국,합계,인구수,2011,50734284
전국,합계,인구수,2012,51881165
전국,합계,인구수,2013,52127443
전국,합계,인구수,2014,52419391
전국,합계,인구수,2015,52678429
전국,합계,인구수,2016,52861996
전국,합계,인구수,2017,52955620
전국,상근의사,인원수,2009,76975
전국,상근의사,인원수,2010,83108
전국,상근의사,인원수,2011,84617
전국,상근의사,인원수,2012,88349
전국,상근의사,인원수,2013,89377
전국,상근의사,인원수,2014,91976
전국,상근의사,인원수,2015,94900
전국,상근의사,인원수,2016,97352
전국,상근의사,인원수,2017,96923
전국,상근의사,만명당인원수,2009,15.4
전국,상근의사,만명당인원수,2010,16.5
전국,상근의사,만명당인원수,2011,16.6
전국,상근의사,만명당인원수,2012,17
전국,상근의사,만명당인원수,2013,17.15
전국,상근의사,만명당인원수,2014,17.55
전국,상근의사,만명당인원수,2015,18.01
전국,상근의사,만명당인원수,2016,18.42
전국,상근의사,만명당인원수,2017,18.3
전국,비상근의사,인원수,2009,468
전국,비상근의사,인원수,2010,649
전국,비상근의사,인원수,2011,593
전국,비상근의사,인원수,2012,1167
전국,비상근의사,인원수,2013,958
전국,비상근의사,인원수,2014,944
전국,비상근의사,인원수,2015,1082
전국,비상근의사,인원수,2016,851
전국,비상근의사,인원수,2017,236
전국,비상근의사,만명당인원수,2009,0.1
전국,비상근의사,만명당인원수,2010,0.1
전국,비상근의사,만명당인원수,2011,0.1
전국,비상근의사,만명당인원수,2012,0.2
전국,비상근의사,만명당인원수,2013,13
전국,비상근의사,만명당인원수,2014,14.99
전국,비상근의사,만명당인원수,2015,15
전국,비상근의사,만명당인원수,2016,9
전국,비상근의사,만명당인원수,2017,1
전국,치과의사,인원수,2009,20027
전국,치과의사,인원수,2010,21239
전국,치과의사,인원수,2011,21249
전국,치과의사,인원수,2012,22042
전국,치과의사,인원수,2013,22138
전국,치과의사,인원수,2014,22809
전국,치과의사,인원수,2015,23775
전국,치과의사,인원수,2016,23877
전국,치과의사,인원수,2017,24559
전국,치과의사,만명당인원수,2009,4
전국,치과의사,만명당인원수,2010,4.2
전국,치과의사,만명당인원수,2011,4.2
전국,치과의사,만명당인원수,2012,4.2
전국,치과의사,만명당인원수,2013,4.25
전국,치과의사,만명당인원수,2014,4.35
전국,치과의사,만명당인원수,2015,4.51
