楷飞喊,矫痢,扁措咯疙(傈眉)[斥],扁措咯疙(巢磊)[斥],扁措咯疙(咯磊)[斥],荤噶犬伏(傈眉),荤噶犬伏(巢磊),荤噶犬伏(咯磊),积粮磊(傈眉),积粮磊(巢磊),积粮磊(咯磊),沥瘤牢备(傈眉),沥瘤牢备(巢磊),沥瘤牢备(咯磊),醚积粮斥荐(傈眉),醚积粮斥荐(巢磊),醚积粮斥荐(咯磊),荤噶磊(傈眉),荤噶磊(巢磊),荤噶磊(咯磊)
0技,1970 斥,62.27305,58.74203,65.80977,0.04152,0.04189,0.04106,100000,100000,100000,96545.51185,96493.04243,96604.88301,6227304.946,5874203.146,6580977.115,4152.15195,4189.46601,4106.02963
0技,1971 斥,62.69237,59.0695,66.32071,0.04038,0.04075,0.03993,100000,100000,100000,96626.85039,96575.32499,96684.95279,6269237.45,5906949.568,6632070.57,4038.38932,4075.3792,3993.0263
0技,1972 斥,63.09909,59.38884,66.81454,0.03928,0.03964,0.03883,100000,100000,100000,96706.57893,96655.98281,96763.43823,6309908.836,5938884.398,6681454.089,3927.74361,3964.39918,3883.13297
0技,1973 斥,63.49366,59.70024,67.29204,0.0382,0.03856,0.03776,100000,100000,100000,96784.71283,96735.03143,96840.35426,6349365.838,5970024.408,6729204.363,3820.12943,3856.44135,3776.26405
0技,1974 斥,63.87659,60.00398,67.75395,0.03715,0.03751,0.03672,100000,100000,100000,96861.45221,96812.65953,96915.91132,6387659.3,6000397.513,6775395.161,3715.46371,3751.42341,3672.3363
0技,1975 斥,64.24838,60.30031,68.20097,0.03614,0.03649,0.03571,100000,100000,100000,96936.61329,96888.69617,96989.91348,6424837.99,6030030.945,6820096.78,3613.66567,3649.2653,3571.26878
0技,1976 斥,64.60943,60.5894,68.63377,0.03515,0.0355,0.03473,100000,100000,100000,97010.38624,96963.32099,97062.56034,6460943.483,6058940.154,6863376.917,3514.65674,3549.88914,3472.98277
0技,1977 斥,64.96018,60.87145,69.053,0.03418,0.03453,0.03377,100000,100000,100000,97082.60382,97036.37842,97133.67364,6496018.064,6087145.31,6905299.964,3418.36051,3453.21918,3377.40172
0技,1978 斥,65.30103,61.14666,69.45928,0.03325,0.03359,0.03284,100000,100000,100000,97153.44643,97108.03922,97203.44238,6530102.641,6114666.298,6945927.84,3324.70264,3359.18171,3284.45119
0技,1979 斥,65.63236,61.41522,69.85319,0.03234,0.03268,0.03194,100000,100000,100000,97222.76203,97178.16192,97271.70451,6563236.111,6141522.089,6985319.357,3233.61086,3267.70506,3194.05877
0技,1980 斥,66.14746,61.88815,70.40994,0.0302,0.03045,0.0299,100000,100000,100000,97387.75594,97351.13589,97428.13944,6614746.085,6188814.975,7040994.496,3019.7251,3045.0821,2989.70592
0技,1981 斥,66.66415,62.38865,70.94233,0.0282,0.02838,0.02798,100000,100000,100000,97543.84031,97514.47155,97576.42988,6666414.755,6238864.944,7094233.042,2819.98672,2837.62605,2798.42736
0技,1982 斥,67.1674,62.88523,71.4518,0.02633,0.02644,0.02619,100000,100000,100000,97692.08933,97669.28858,97717.59326,6716740.16,6288523.025,7145179.903,2633.45994,2644.30362,2619.38663
0技,1983 斥,67.65403,63.37015,71.93972,0.02459,0.02464,0.02452,100000,100000,100000,97832.02776,97815.14584,97851.1291,6765403.445,6337014.64,7193971.888,2459.2709,2464.1519,2451.80075
0技,1984 斥,68.30106,63.99635,72.60937,0.02191,0.02224,0.02152,100000,100000,100000,98051.85349,98013.07109,98094.93063,6830105.696,6399634.63,7260937.371,2190.62738,2223.93996,2152.14368
0技,1985 斥,68.91016,64.59724,73.22757,0.01951,0.02007,0.01889,100000,100000,100000,98250.5146,98193.98222,98312.40722,6891015.62,6459724.005,7322756.65,1951.32969,2007.14451,1889.11046
0技,1986 斥,69.53312,65.26633,73.80452,0.0177,0.01824,0.0171,100000,100000,100000,98403.82367,98349.31478,98463.84511,6953312.234,6526633.304,7380451.786,1770.04937,1824.06063,1709.52075
0技,1987 斥,70.12731,65.91108,74.3482,0.01606,0.01658,0.01547,100000,100000,100000,98544.16785,98491.77625,98602.14294,7012730.89,6591107.536,7434819.609,1605.61015,1657.67694,1547.00388
0技,1988 斥,70.65048,66.46193,74.84439,0.01482,0.0154,0.01418,100000,100000,100000,98650.56233,98596.115,98713.57231,7065048.496,6646193.395,7484438.677,1482.44916,1539.71602,1417.73956
0技,1989 斥,71.15583,67.00339,75.3141,0.01369,0.0143,0.01299,100000,100000,100000,98749.38643,98693.30123,98816.33332,7115582.762,6700338.755,7531410.192,1368.73544,1430.14925,1299.27628
0技,1990 斥,71.65935,67.46065,75.86508,0.01257,0.01326,0.01178,100000,100000,100000,98847.57052,98782.30117,98923.05613,7165935.349,6746064.51,7586507.925,1256.82214,1326.44956,1177.53755
0技,1991 斥,72.15445,67.90602,76.41063,0.01154,0.0123,0.01067,100000,100000,100000,98938.19987,98865.53224,99020.32268,7215444.538,6790602.217,7641063.265,1154.05933,1230.2691,1067.20542
0技,1992 斥,72.60547,68.40316,76.81502,0.01061,0.01128,0.00984,100000,100000,100000,99021.06074,98956.67964,99094.22618,7260546.632,6840315.719,7681501.91,1060.94022,1127.91003,984.09154
0技,1993 斥,73.10137,68.87568,77.33382,0.00975,0.01034,0.00907,100000,100000,100000,99097.54858,99040.6228,99162.62596,7310137.485,6887567.995,7733382.302,975.33474,1034.06729,907.45057
0技,1994 斥,73.4738,69.29152,77.66143,0.00903,0.00951,0.00847,100000,100000,100000,99162.74598,99115.10668,99216.77561,7347380.375,6929152.01,7766142.883,902.87815,951.40685,847.14504
0技,1995 斥,73.81449,69.69791,77.93509,0.00836,0.00875,0.00791,100000,100000,100000,99223.28367,99183.87803,99267.45835,7381448.81,6969791.251,7793508.962,835.80428,875.35406,790.84718
