행정구분,성별,년도,값
서울,계,1970,5685932
서울,계,1971,5940442
서울,계,1972,6206625
서울,계,1973,6470497
서울,계,1974,6737832
서울,계,1975,7005007
서울,계,1976,7300852
서울,계,1977,7598734
서울,계,1978,7900077
서울,계,1979,8205097
서울,계,1980,8516450
서울,계,1981,8795571
서울,계,1982,9058650
서울,계,1983,9317088
서울,계,1984,9558806
서울,계,1985,9725447
서울,계,1986,9815245
서울,계,1987,9931649
서울,계,1988,10147107
서울,계,1989,10379344
서울,계,1990,10473252
서울,계,1991,10461122
서울,계,1992,10445852
서울,계,1993,10420119
서울,계,1994,10385314
서울,계,1995,10342224
서울,계,1996,10195359
서울,계,1997,10115549
서울,계,1998,10051237
서울,계,1999,10035810
서울,계,2000,10078434
서울,계,2001,10091137
서울,계,2002,10049183
서울,계,2003,10041419
서울,계,2004,10051611
서울,계,2005,10028631
서울,계,2006,10057373
서울,계,2007,10068563
서울,계,2008,10111880
서울,계,2009,10138867
서울,계,2010,10088611
서울,계,2011,10072235
서울,계,2012,10036273
서울,계,2013,9990010
서울,계,2014,9975163
서울,계,2015,9941162
서울,계,2016,9842501
서울,계,2017,9766399
서울,계,2018,9704546
서울,계,2019,9662041
서울,계,2020,9601693
서울,계,2021,9543142
서울,계,2022,9487764
서울,계,2023,9439298
서울,계,2024,9394490
서울,계,2025,9352227
서울,계,2026,9311804
서울,계,2027,9272673
서울,계,2028,9234270
서울,계,2029,9195157
서울,계,2030,9155502
서울,계,2031,9115672
서울,계,2032,9075598
서울,계,2033,9035257
서울,계,2034,8994658
서울,계,2035,8953738
서울,계,2036,8912133
서울,계,2037,8869389
서울,계,2038,8825205
서울,계,2039,8779359
서울,계,2040,8731396
서울,계,2041,8681042
서울,계,2042,8627977
서울,계,2043,8572054
서울,계,2044,8513027
서울,계,2045,8451145
서울,계,2046,8386694
서울,계,2047,8319771
서울,남자,1970,2864147
서울,남자,1971,2991528
서울,남자,1972,3120911
서울,남자,1973,3245901
서울,남자,1974,3372843
서울,남자,1975,3493989
서울,남자,1976,3645645
서울,남자,1977,3799541
서울,남자,1978,3955311
서울,남자,1979,4113208
서울,남자,1980,4274921
서울,남자,1981,4413309
서울,남자,1982,4543903
서울,남자,1983,4672572
서울,남자,1984,4792911
서울,남자,1985,4876533
서울,남자,1986,4926219
서울,남자,1987,4987271
서울,남자,1988,5099544
서울,남자,1989,5220199
서울,남자,1990,5272803
서울,남자,1991,5266726
서울,남자,1992,5259938
서울,남자,1993,5248516
서울,남자,1994,5232588
서울,남자,1995,5212363
서울,남자,1996,5137748
서울,남자,1997,5098995
서울,남자,1998,5060672
서울,남자,1999,5050557
서울,남자,2000,5075696
서울,남자,2001,5079359
서울,남자,2002,5053965
서울,남자,2003,5044288
서울,남자,2004,5038512
서울,남자,2005,5012084
서울,남자,2006,5016395
서울,남자,2007,5012803
서울,남자,2008,5026851
서울,남자,2009,5028886
서울,남자,2010,4994235
서울,남자,2011,4977967
서울,남자,2012,4951465
서울,남자,2013,4918124
서울,남자,2014,4904120
서울,남자,2015,4881464
서울,남자,2016,4820273
서울,남자,2017,4772820
서울,남자,2018,4731252
서울,남자,2019,4698629
서울,남자,2020,4660983
서울,남자,2021,4625047
서울,남자,2022,4591453
서울,남자,2023,4563623
서울,남자,2024,4538022
서울,남자,2025,4514109
서울,남자,2026,4491463
서울,남자,2027,4469662
서울,남자,2028,4448356
서울,남자,2029,4426773
서울,남자,2030,4404754
서울,남자,2031,4382516
서울,남자,2032,4360056
서울,남자,2033,4337442
서울,남자,2034,4314660
서울,남자,2035,4291726
서울,남자,2036,4268533
서울,남자,2037,4244961
서울,남자,2038,4220903
서울,남자,2039,4196243
서울,남자,2040,4170874
서울,남자,2041,4144708
서울,남자,2042,4117551
서울,남자,2043,4089277
서울,남자,2044,4059690
서울,남자,2045,4028877
서울,남자,2046,3996878
서울,남자,2047,3963629
서울,여자,1970,2821785
서울,여자,1971,2948914
서울,여자,1972,3085714
서울,여자,1973,3224596
서울,여자,1974,3364989
서울,여자,1975,3511018
서울,여자,1976,3655207
서울,여자,1977,3799193
서울,여자,1978,3944766
서울,여자,1979,4091889
서울,여자,1980,4241529
서울,여자,1981,4382262
서울,여자,1982,4514747
서울,여자,1983,4644516
서울,여자,1984,4765895
서울,여자,1985,4848914
서울,여자,1986,4889026
서울,여자,1987,4944378
서울,여자,1988,5047563
서울,여자,1989,5159145
서울,여자,1990,5200449
서울,여자,1991,5194396
서울,여자,1992,5185914
서울,여자,1993,5171603
서울,여자,1994,5152726
서울,여자,1995,5129861
서울,여자,1996,5057611
서울,여자,1997,5016554
서울,여자,1998,4990565
서울,여자,1999,4985253
서울,여자,2000,5002738
서울,여자,2001,5011778
서울,여자,2002,4995218
서울,여자,2003,4997131
서울,여자,2004,5013099
서울,여자,2005,5016547
서울,여자,2006,5040978
서울,여자,2007,5055760
서울,여자,2008,5085029
서울,여자,2009,5109981
서울,여자,2010,5094376
서울,여자,2011,5094268
서울,여자,2012,5084808
서울,여자,2013,5071886
서울,여자,2014,5071043
서울,여자,2015,5059698
서울,여자,2016,5022228
서울,여자,2017,4993579
서울,여자,2018,4973294
서울,여자,2019,4963412
서울,여자,2020,4940710
서울,여자,2021,4918095
서울,여자,2022,4896311
서울,여자,2023,4875675
서울,여자,2024,4856468
서울,여자,2025,4838118
서울,여자,2026,4820341
서울,여자,2027,4803011
서울,여자,2028,4785914
서울,여자,2029,4768384
서울,여자,2030,4750748
서울,여자,2031,4733156
서울,여자,2032,4715542
서울,여자,2033,4697815
서울,여자,2034,4679998
서울,여자,2035,4662012
서울,여자,2036,4643600
서울,여자,2037,4624428
서울,여자,2038,4604302
서울,여자,2039,4583116
서울,여자,2040,4560522
서울,여자,2041,4536334
서울,여자,2042,4510426
서울,여자,2043,4482777
서울,여자,2044,4453337
서울,여자,2045,4422268
서울,여자,2046,4389816
서울,여자,2047,4356142
부산,계,1970,2045828
부산,계,1971,2155433
부산,계,1972,2270494
부산,계,1973,2386209
부산,계,1974,2504899
부산,계,1975,2625143
부산,계,1976,2756845
부산,계,1977,2890337
부산,계,1978,3026409
부산,계,1979,3165516
부산,계,1980,3309338
부산,계,1981,3399677
부산,계,1982,3469299
부산,계,1983,3526625
부산,계,1984,3580187
부산,계,1985,3627990
부산,계,1986,3671462
부산,계,1987,3724562
부산,계,1988,3773138
부산,계,1989,3803288
부산,계,1990,3803334
부산,계,1991,3816713
부산,계,1992,3829348
부산,계,1993,3839022
부산,계,1994,3846467
부산,계,1995,3852295
부산,계,1996,3826168
부산,계,1997,3803326
부산,계,1998,3775121
부산,계,1999,3752322
부산,계,2000,3732630
부산,계,2001,3716425
부산,계,2002,3684942
부산,계,2003,3648852
부산,계,2004,3623903
부산,계,2005,3590291
부산,계,2006,3563009
부산,계,2007,3538031
부산,계,2008,3514331
부산,계,2009,3497197
부산,계,2010,3476658
부산,계,2011,3476349
부산,계,2012,3461881
부산,계,2013,3455734
부산,계,2014,3452309
부산,계,2015,3452260
부산,계,2016,3446962
부산,계,2017,3424409
부산,계,2018,3400027
부산,계,2019,3372763
부산,계,2020,3343528
부산,계,2021,3313445
부산,계,2022,3283324
부산,계,2023,3259869
부산,계,2024,3237082
부산,계,2025,3214964
부산,계,2026,3193553
부산,계,2027,3172811
부산,계,2028,3152725
부산,계,2029,3132923
부산,계,2030,3113235
부산,계,2031,3093509
부산,계,2032,3073586
부산,계,2033,3053240
부산,계,2034,3032263
부산,계,2035,3010503
부산,계,2036,2987889
부산,계,2037,2964271
부산,계,2038,2939638
부산,계,2039,2913998
부산,계,2040,2887377
부산,계,2041,2859909
부산,계,2042,2831693
부산,계,2043,2802793
부산,계,2044,2773258
부산,계,2045,2743209
부산,계,2046,2712701
부산,계,2047,2681696
부산,남자,1970,1032010
부산,남자,1971,1087057
부산,남자,1972,1143248
부산,남자,1973,1198433
부산,남자,1974,1254982
부산,남자,1975,1310001
부산,남자,1976,1376272
부산,남자,1977,1443836
부산,남자,1978,1512747
부산,남자,1979,1583340
부산,남자,1980,1656543
부산,남자,1981,1699668
부산,남자,1982,1732535
부산,남자,1983,1759359
부산,남자,1984,1784119
부산,남자,1985,1806061
부산,남자,1986,1826958
부산,남자,1987,1851982
부산,남자,1988,1875287
부산,남자,1989,1889544
부산,남자,1990,1889516
부산,남자,1991,1898481
부산,남자,1992,1907117
부산,남자,1993,1914301
부산,남자,1994,1920239
부산,남자,1995,1925224
부산,남자,1996,1912428
부산,남자,1997,1902137
부산,남자,1998,1887110
부산,남자,1999,1876039
부산,남자,2000,1866962
부산,남자,2001,1858228
부산,남자,2002,1841471
부산,남자,2003,1823508
부산,남자,2004,1809016
부산,남자,2005,1789393
부산,남자,2006,1772957
부산,남자,2007,1758736
부산,남자,2008,1744222
부산,남자,2009,1732711
부산,남자,2010,1719564
부산,남자,2011,1719138
부산,남자,2012,1711058
부산,남자,2013,1706570
부산,남자,2014,1704522
부산,남자,2015,1703339
부산,남자,2016,1697939
부산,남자,2017,1685161
부산,남자,2018,1671846
부산,남자,2019,1655688
부산,남자,2020,1639369
부산,남자,2021,1622652
부산,남자,2022,1605967
부산,남자,2023,1592794
부산,남자,2024,1579996
부산,남자,2025,1567614
부산,남자,2026,1555683
부산,남자,2027,1544176
부산,남자,2028,1533068
부산,남자,2029,1522183
부산,남자,2030,1511434
부산,남자,2031,1500746
부산,남자,2032,1490031
부산,남자,2033,1479194
부산,남자,2034,1468092
부산,남자,2035,1456653
부산,남자,2036,1444866
부산,남자,2037,1432662
부산,남자,2038,1420020
부산,남자,2039,1406935
부산,남자,2040,1393456
부산,남자,2041,1379658
부산,남자,2042,1365581
